output,tweet,Notes:
2000_512_0.001_100_150.out ,Crowds and Border Security is a complete and trouble to reporting- together we will work! These are your job,higher learning rate yields less coherent sentences
2000_512_0.001_100_150.out ,Great investigation of Judge Brady on the @WhiteHouse ratings are so why I am terrible!,"trump uses allcaps too often, triggering angry all caps in the middle of the tweet. "
2000_512_0.001_100_150.out ,Lots of work is a star. Prayers are going very sad!,"After many years (decades), Mexico is apprehending large numbers of people at their Southern Border, mostly from Guatemala, Honduras and El Salvador. They have ALL been taking U.S. money for years, and doing ABSOLUTELY NOTHING for us, just like the Democrats in Congress!"
2000_512_0.001_100_150.out ,Congrats to our national poll.,"In 1998, Rep.Jerry Nadler strongly opposed the release of the Starr Report on Bill Clinton. No information whatsoever would or could be legally released. But with the NO COLLUSION Mueller Report, which the Dems hate, he wants it all. NOTHING WILL EVER SATISFY THEM! @foxandfriends"
2000_512_0.001_100_150.out ,@BarackObama did nothing badly and I are smart.,"8,767 replies11,547 retweets40,474 likes"
2000_512_0.001_100_150.out ,Rates talking so thanks! TAKE! Getter of the crowds sexting of the deleted concerned about the Russian Collusion is a joke,Mad Libs
2000_512_0.001_100_200.out ,America Great Again!,
2000_512_0.001_100_200.out ,@ABC is the biggest economic companies to create jobs,
2000_1028_0.001_100_150.out,The Philippines are right. #MakeAmericaGreatAgain,
2000_1028_0.001_100_150.out,always remember the thousands of dollars in China which is wrong,
2000_1028_0.001_100_150.out,The Washington Post Poll just like something wrong on immigration,
2000_1028_0.001_100_150.out,the world try to win.......... We will MAKE AMERICA GREAT AGAIN!Thank you! #MAGAChina,
2000_1028_0.001_100_150.out,MAKE AMERICA GREAT AGAIN! I have to say the White House Intelligence Committee has been a total mess coming to the wrong dealers,
3000_512_0.001_100_150.out ,#AmericaFirst #ImWithYouThe #1 on Borders,
3000_512_0.001_100_150.out ,Crooked Hillary Clinton sparks has the workAgain #Trump2016 #MAGA,
3000_512_0.001_100_150.out ,I want to talk about New Hampshire today on @CNN. Enjoy!,
3000_512_0.001_100_150.out ,What a great time in our Country being looking to comparily change! ,
3000_512_0.001_100_150.out ,Loves our Military Vets to all the pressure on the American problems,
3000_1028_0.001_100_150.out,Again! #Trump2016 #MakeAmericaGreatAgain #Trump2016#SuperTrump,
3000_1028_0.001_100_150.out,The Fed is a complete failure. In other words they are clearing them. ,
3000_1028_0.001_100_150.out,The Democrats want to reach the 13 Angry Democrats,
3000_1028_0.001_100_150.out,my own Supreme Court purpose has been income and will be the only way ,
3000_1028_0.001_150_150.out,I will be on @foxandfriends at 7:00 A.M. #MakeAmericaGreatAgain #Trump2016,
4000_512_0.001_100_150.out ,The Blue Monster at Trump National Doral is constantly looking for Obama for the American people in preventable reason against Russia,
4000_512_0.001_100_150.out ,#Trump2016THANK YOU NEVADA! WE WILL MAKE AMERICA SAFE AND GREAT AGAIN!#MakeAmericaGreatAgain,
4000_512_0.001_150_150.out ,Alex Bad decision is on your goals. So why isn't this! Don't think that you met anything wrong?,
4000_512_0.001_150_150.out ,Just got smart on @FoxNews at 8:00 P.M. Enjoy! ,
4000_512_0.001_150_150.out ,@DennisRodman is terrible. Tremendous crowd and good luck! @SeanoRobert Thanks!,
4000_512_0.001_150_150.out ,Why isn't the terrible Iranian hope shared like a major announce,
4000_1028_0.001_150_150.out ,I am with @RickPerry last night--a great spirit and cover up for my @Cheftrage,
4000_1028_0.001_150_150.out ,Ted Cruz is manipulating a strong and disgraceful Bernie will properly do something ,
4000_1028_0.001_150_150.out ,"@Mark_Sanchez said says ""It is a clear where it were the greatest soldier AT colleagues into office..."" ",
4000_1028_0.001_150_150.out ,@MELANIATRUMP attacked me ,
4000_1028_0.001_150_150.out , No amnesty! DO MAKE AMERICA SAFE AGAIN! MAKE AMERICA GREAT AGAIN!,
4000_1028_0.001_100_150.out ,#Trump2016Thank you I will be leaving a great time in North Carolina where I discuss the autism with the right to bring documentary at AmericaFirst,
4000_1028_0.001_100_150.out ,President Obama in charge of the opening of two wonderful people who have been told his family he was an entrepreneurial campaig,
4000_1028_0.001_100_150.out , I will #MakeAmericaSafeAgain!#SuperTuesday #TrumpVlog Obama doesn't change for illegal immigration,
4000_1028_0.001_100_150.out ,Heading to Homeland Security. #DrainTheSwamp....Secretary of Defense Paternon is doing a great job as your Comcast shooter,
4000_1028_0.001_100_150.out ,@Borkelwilke True! @marissanelli Thank you. ,
4000_1028_0.001_100_150.out ,the public golf course rated @NBC at Trump National Doral is weak and expensive ,
4000_1028_0.001_100_150.out ,ABC news Will be on @foxandfriends at 7:30 AM. Tune in to welcome a record crowd expected. Very exciting! ,
4000_1028_0.001_100_150.out ,#Trump2016 #AmericaFirst#AmericaFirstThank you North Carolina. News conference at recent partners interview w/ @AmazonAfrican-American ,
4000_1028_0.001_100_150.out ,A great time in Virginia. China has done good. If I went the NFL should never have been done in other countries ,
4000_1028_0.001_100_150.out ,DUMB! WITCH HUNT will be coming back to the media in Charlottesville to the people of South KoreaAgain #ImWithYouThank you!,
4000_1028_0.001_100_150.out ,@NewYorkPost @Yankees  So far the @oreillyfactor at 8/20 Minutes @Xean_fox has been waiting in Florida now,
4000_1028_0.001_100_150.out ,Thank you very much. Good luck. @BarackObama can't stand in Barrack Obama.,
4000_1028_0.001_100_150.out ,will be speaking at the officiational elements in Congressional Review On International,
4000_1028_0.001_100_150.out ,Rosie O'Donnell who I look forward to working out the worst and spending our laws and our products coming amounts.,
4000_1028_0.001_100_150.out ,#MakeAmericaGreatAgain #Trump2016Thank you at Trump Tower in NYC on NBC.,
4000_1028_0.001_100_150.out ,Anthony Weiner's girlfriend will be producting up to sign the day plane with a pathetic service.,
4000_1028_0.001_100_150.out ,No campaign means not respect to the people ,
4000_1028_0.001_100_150.out ,The Democrats are a total joke. ,
